Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R7,R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,125.0,-114.0,180.0,top
R8,R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,136.0,-100.08,90.0,top
R9,R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,144.0,-108.0,-90.0,top
TP1,5002,KEYSTONE_5002,63.229863,-104.0,0.0,top
TP10,5002,KEYSTONE_5002,68.0,-99.0,0.0,top
TP11,5002,KEYSTONE_5002,124.5,-96.0,0.0,top
TP2,5002,KEYSTONE_5002,100.5,-114.5,0.0,top
TP3,5002,KEYSTONE_5002,95.0,-146.5,0.0,top
TP4,5002,KEYSTONE_5002,115.0,-148.0,0.0,top
TP5,5002,KEYSTONE_5002,117.003792,-92.475605,0.0,top
TP6,5002,KEYSTONE_5002,100.0,-82.0,0.0,top
TP7,5002,KEYSTONE_5002,151.0,-103.5,0.0,top
TP8,5002,KEYSTONE_5002,78.0,-117.0,0.0,top
TP9,5002,KEYSTONE_5002,117.400333,-110.607041,0.0,top
U1,~,DIP-8_W7.62mm,92.0,-111.0,-90.0,top
U10,LM318N,N08E,127.19,-104.0,180.0,top
U4,SE555P,DIP-8_W7.62mm,77.19,-101.19,90.0,top
U5,LM337_TO220,TO-220-3_Vertical,89.54,-152.05,180.0,top
U6,LM337_TO220,TO-220-3_Vertical,123.46,-152.55,180.0,top
U7,LM317_TO-220,TO-220-3_Vertical,120.46,-86.5,0.0,top
U8,LM317_TO-220,TO-220-3_Vertical,81.46,-87.0,0.0,top
U9,LM318N,N08E,109.0,-107.0,180.0,top
